#{"t_start": 1762492845.3286524, "env_id": "None"}
r,l,t
-7.488806,18,83.567736
-6.526169,17,83.620246
-6.898156,17,83.673532
-6.863562,18,83.729264
-6.319204,17,83.78185
-8.079141,18,83.837626
-6.752123,18,83.893841
-5.912704,17,83.946533
-5.639877,17,83.999106
-7.664003,18,84.054995
-6.141313,18,84.110826
-8.476942,18,84.166328
-5.137984,17,84.218783
-6.632752,17,84.997222
-5.297639,17,85.050005
-8.695199,18,85.106555
-8.765286,18,85.162194
-7.492189,19,85.221012
-5.056267,17,85.58796
-6.671686,18,85.643937
-5.366912,17,85.697035
-7.878728,18,85.752506
-4.815861,17,85.80471
-8.317511,19,85.863887
-6.325869,17,85.916728
-5.453807,18,85.972072
-6.826845,17,86.024463
-7.253886,17,86.07731
-6.170764,18,86.133273
-6.280234,17,86.185408
-6.290046,18,86.240786
-7.212202,18,86.29681
-7.213089,18,86.356905
-4.98259,17,86.409248
-5.021128,17,86.461771
-6.850527,17,86.514646
-5.668938,18,86.570162
-5.931703,17,86.622461
-8.481427,18,86.677787
-5.297053,18,86.733747
-6.430477,17,86.785987
-5.690351,17,86.838313
-5.516899,18,86.894005
-6.87981,18,86.950259
-7.91398,18,87.005916
-6.049439,17,87.058923
-5.122719,17,87.111999
-5.863422,17,87.164813
-8.291982,18,87.220301
-6.711121,18,87.275652
-6.252091,18,87.332064
-6.293537,17,87.38466
-7.253018,17,87.437273
-5.86534,17,87.49
-4.879929,17,87.85642
-5.008742,17,87.909758
-6.356414,17,87.962546
-6.208835,17,88.015274
-6.111508,17,88.068035
-7.979117,18,88.124247
-7.810774,18,88.179764
-7.009781,19,88.238207
-5.569182,17,88.290882
-6.9464,18,88.347356
-8.545123,18,88.402669
-7.16532,17,88.454816
-5.454602,17,88.507381
-7.975317,18,88.56371
-8.694047,18,88.619357
-6.420402,18,88.674656
-6.49023,18,88.730659
-8.371594,18,89.558767
-6.028984,17,89.612278
-5.738706,17,89.666478
-6.151647,17,89.721049
-5.823903,17,89.775457
-4.752047,17,89.830116
-8.590254,18,89.888321
-7.160741,18,89.946648
-5.683183,17,90.001263
-8.371529,18,90.059277
-5.200055,17,90.113619
-5.902566,17,90.168959
-7.152938,17,90.22383
-7.450497,18,90.28197
-6.959507,18,90.340707
-7.236274,18,90.399361
-7.751995,18,90.45746
-5.512842,17,90.512045
-4.8304,17,90.893692
-7.375516,17,90.949453
-5.86754,17,91.004959
-7.928001,18,91.06292
-6.618747,18,91.120998
-6.077547,17,91.177082
-5.639252,17,91.231935
-8.246507,18,91.290619
-6.019137,17,91.345751
-8.031419,18,91.406948
-5.16729,17,91.461772
-5.815485,17,91.516594
-6.039638,17,91.571837
-5.196144,17,91.627012
-6.9719,18,91.685214
-4.360019,17,91.739835
-8.192467,19,91.801904
-4.661203,17,91.856799
-7.883474,19,91.918152
-6.356561,17,91.973212
-4.431079,17,92.028056
-7.734886,18,92.086674
-7.360065,17,92.141218
-7.05939,17,92.196978
